BSR,LF,n,mean_r,median_r,geo_mean_r,sd_r,var_r,iqr_r,min_r,max_r,range_r,flag_spread,flag_low_n,any_flag,suggested
UGR11,Decr. Water Quant.,3,3.666666667,3,3.556893304,1.154700538,1.333333333,1,3,5,2,FALSE,FALSE,FALSE,3.56
UGR11,Altered Q Timing,3,3,3,3,0,0,0,3,3,0,FALSE,FALSE,FALSE,3
UGR11,Summer Temp,3,4.333333333,5,4.217163327,1.154700538,1.333333333,1,3,5,2,FALSE,FALSE,FALSE,4.22
UGR11,Winter Temp.,3,3,3,2.884499141,1,1,1,2,4,2,FALSE,FALSE,FALSE,2.88
UGR11,Water Quality,3,3.333333333,3,3.301927249,0.577350269,0.333333333,0.5,3,4,1,FALSE,FALSE,FALSE,3.3
UGR12,Riparian Cond.,5,2.8,3,2.766323734,0.447213595,0.2,0,2,3,1,FALSE,FALSE,FALSE,2.77
UGR12,Floodplain Cond.,5,2.8,3,2.766323734,0.447213595,0.2,0,2,3,1,FALSE,FALSE,FALSE,2.77
UGR12,Side Channel/Wetland,5,2.4,2,2.352158045,0.547722558,0.3,1,2,3,1,FALSE,FALSE,FALSE,2.35
UGR12,Habitat Complexity,5,3,3,2.930156052,0.707106781,0.5,0,2,4,2,FALSE,FALSE,FALSE,2.93
UGR12,Decr. Sediment,5,3.2,3,3.103691148,0.836660027,0.7,1,2,4,2,FALSE,FALSE,FALSE,3.1
UGR12,Incr. Sediment,5,2.8,3,2.766323734,0.447213595,0.2,0,2,3,1,FALSE,FALSE,FALSE,2.77
UGR12,Barriers,3,2.666666667,2,2.15443469,2.081665999,4.333333333,2,1,5,4,TRUE,FALSE,TRUE,2.15
UGR12,Predation,3,1,1,1,0,0,0,1,1,0,FALSE,FALSE,FALSE,1
UGR12,Primary Prod.,3,3.333333333,3,3.107232506,1.527525232,2.333333333,1.5,2,5,3,FALSE,FALSE,FALSE,3.11
UGR12,Non-Native/Competition,3,1.333333333,1,1.25992105,0.577350269,0.333333333,0.5,1,2,1,FALSE,FALSE,FALSE,1.26
UGR12,Decr. Water Quant.,3,3,3,3,0,0,0,3,3,0,FALSE,FALSE,FALSE,3
UGR12,Altered Q Timing,3,2.666666667,3,2.620741394,0.577350269,0.333333333,0.5,2,3,1,FALSE,FALSE,FALSE,2.62
UGR12,Summer Temp,3,2.333333333,3,2.080083823,1.154700538,1.333333333,1,1,3,2,FALSE,FALSE,FALSE,2.08
UGR12,Winter Temp.,3,2,2,2,0,0,0,2,2,0,FALSE,FALSE,FALSE,2
UGR12,Water Quality,3,2,2,2,0,0,0,2,2,0,FALSE,FALSE,FALSE,2
UGR13,Riparian Cond.,5,3.8,4,3.776350045,0.447213595,0.2,0,3,4,1,FALSE,FALSE,FALSE,3.78
UGR13,Floodplain Cond.,5,4,4,3.948700972,0.707106781,0.5,0,3,5,2,FALSE,FALSE,FALSE,3.95
UGR13,Side Channel/Wetland,5,4.2,4,4.18255821,0.447213595,0.2,0,4,5,1,FALSE,FALSE,FALSE,4.18
UGR13,Habitat Complexity,5,4.4,4,4.373448296,0.547722558,0.3,1,4,5,1,FALSE,FALSE,FALSE,4.37
UGR13,Decr. Sediment,5,4,4,4,0,0,0,4,4,0,FALSE,FALSE,FALSE,4
UGR13,Incr. Sediment,5,3.4,3,3.245342223,1.140175425,1.3,1,2,5,3,FALSE,FALSE,FALSE,3.25
UGR13,Barriers,3,2,2,1.817120593,1,1,1,1,3,2,FALSE,FALSE,FALSE,1.82
UGR13,Predation,3,2.333333333,2,2,1.527525232,2.333333333,1.5,1,4,3,FALSE,FALSE,FALSE,2
UGR13,Primary Prod.,3,4,4,3.914867641,1,1,1,3,5,2,FALSE,FALSE,FALSE,3.91
UGR13,Non-Native/Competition,3,3,3,2.884499141,1,1,1,2,4,2,FALSE,FALSE,FALSE,2.88
UGR13,Decr. Water Quant.,3,3.666666667,4,3.634241186,0.577350269,0.333333333,0.5,3,4,1,FALSE,FALSE,FALSE,3.63
UGR13,Altered Q Timing,3,3.333333333,3,3.301927249,0.577350269,0.333333333,0.5,3,4,1,FALSE,FALSE,FALSE,3.3
UGR13,Summer Temp,3,3.666666667,3,3.556893304,1.154700538,1.333333333,1,3,5,2,FALSE,FALSE,FALSE,3.56
UGR13,Winter Temp.,3,2.666666667,3,2.620741394,0.577350269,0.333333333,0.5,2,3,1,FALSE,FALSE,FALSE,2.62
UGR13,Water Quality,3,2.666666667,3,2.620741394,0.577350269,0.333333333,0.5,2,3,1,FALSE,FALSE,FALSE,2.62
UGR14,Riparian Cond.,5,2.6,3,2.550849001,0.547722558,0.3,1,2,3,1,FALSE,FALSE,FALSE,2.55
UGR14,Floodplain Cond.,5,2.6,3,2.550849001,0.547722558,0.3,1,2,3,1,FALSE,FALSE,FALSE,2.55
UGR14,Side Channel/Wetland,5,2.8,3,2.766323734,0.447213595,0.2,0,2,3,1,FALSE,FALSE,FALSE,2.77
UGR14,Habitat Complexity,5,3,3,3,0,0,0,3,3,0,FALSE,FALSE,FALSE,3
UGR14,Decr. Sediment,5,3,3,2.930156052,0.707106781,0.5,0,2,4,2,FALSE,FALSE,FALSE,2.93
UGR14,Incr. Sediment,5,2.6,2,2.491461879,0.894427191,0.8,1,2,4,2,FALSE,FALSE,FALSE,2.49
UGR14,Barriers,3,3,2,2.714417617,1.732050808,3,1.5,2,5,3,FALSE,FALSE,FALSE,2.71
