bsr,basin,bsr_crosswalk_status,species,life_stage,fish_use_rating,corrected_score,species_aggregate_score,fish_use_score,rank,fish_use_score_100,fish_use_score_decimal
UGR6,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1,1.05,0.82,3.162,6,76.43,0.7643
UGR6,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.1,0.32,0.82,3.162,6,76.43,0.7643
UGR6,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,1,2.22,1.73,3.162,6,76.43,0.7643
UGR6,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.67,0.99,1.73,3.162,6,76.43,0.7643
UGR7,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0,0,0.65,1.396,17,33.75,0.3375
UGR7,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.67,0.84,0.65,1.396,17,33.75,0.3375
UGR7,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0,0,0.65,1.396,17,33.75,0.3375
UGR7,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.44,1.56,0.65,1.396,17,33.75,0.3375
UGR7,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0,0,0.55,1.396,17,33.75,0.3375
UGR7,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.67,0.58,0.55,1.396,17,33.75,0.3375
UGR7,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0,0,0.55,1.396,17,33.75,0.3375
UGR7,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.51,1.62,0.55,1.396,17,33.75,0.3375
UGR7,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0,0,0.2,1.396,17,33.75,0.3375
UGR7,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.33,0.49,0.2,1.396,17,33.75,0.3375
UGR8,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0,0,0.02,0.018,29,0.44,0.0044
UGR8,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0,0,0.02,0.018,29,0.44,0.0044
UGR8,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0,0,0.02,0.018,29,0.44,0.0044
UGR8,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.02,0.06,0.02,0.018,29,0.44,0.0044
UGR8,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0,0,0,0.018,29,0.44,0.0044
UGR8,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0,0,0,0.018,29,0.44,0.0044
UGR8,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0,0,0,0.018,29,0.44,0.0044
UGR8,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0,0,0,0.018,29,0.44,0.0044
UGR8,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0,0,0,0.018,29,0.44,0.0044
UGR8,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0,0,0,0.018,29,0.44,0.0044
UGR9,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0,0,0.59,1.317,19,31.84,0.3184
UGR9,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.67,0.84,0.59,1.317,19,31.84,0.3184
UGR9,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0,0,0.59,1.317,19,31.84,0.3184
UGR9,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.38,1.35,0.59,1.317,19,31.84,0.3184
UGR9,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0,0,0.53,1.317,19,31.84,0.3184
UGR9,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.67,0.58,0.53,1.317,19,31.84,0.3184
UGR9,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0,0,0.53,1.317,19,31.84,0.3184
UGR9,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.49,1.55,0.53,1.317,19,31.84,0.3184
UGR9,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0,0,0.2,1.317,19,31.84,0.3184
UGR9,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.33,0.49,0.2,1.317,19,31.84,0.3184
UGR10,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0,0,0.27,1.051,22,25.41,0.2541
UGR10,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.33,0.41,0.27,1.051,22,25.41,0.2541
UGR10,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.33,0.51,0.27,1.051,22,25.41,0.2541
UGR10,Upper Grande Ronde,exact_identifier,Chinook,Migration,0,0,0.27,1.051,22,25.41,0.2541
UGR10,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1,1.03,0.78,1.051,22,25.41,0.2541
UGR10,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,1,0.87,0.78,1.051,22,25.41,0.2541
UGR10,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1,1.05,0.78,1.051,22,25.41,0.2541
UGR10,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.05,0.17,0.78,1.051,22,25.41,0.2541
UGR10,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0,0,0,1.051,22,25.41,0.2541
UGR10,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0,0,0,1.051,22,25.41,0.2541
UGR11,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0,0,0.83,1.864,15,45.04,0.4504
UGR11,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,1,1.25,0.83,1.864,15,45.04,0.4504
UGR11,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.33,0.51,0.83,1.864,15,45.04,0.4504
UGR11,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.35,1.24,0.83,1.864,15,45.04,0.4504
UGR11,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0.33,0.34,0.64,1.864,15,45.04,0.4504
UGR11,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,1,0.87,0.64,1.864,15,45.04,0.4504
UGR11,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0,0,0.64,1.864,15,45.04,0.4504
UGR11,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.43,1.36,0.64,1.864,15,45.04,0.4504
UGR11,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0,0,0.4,1.864,15,45.04,0.4504
UGR11,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.67,0.99,0.4,1.864,15,45.04,0.4504
UGR12,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0,0,0.27,0.944,24,22.81,0.2281
UGR12,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.33,0.41,0.27,0.944,24,22.81,0.2281
UGR12,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.33,0.51,0.27,0.944,24,22.81,0.2281
UGR12,Upper Grande Ronde,exact_identifier,Chinook,Migration,0,0.01,0.27,0.944,24,22.81,0.2281
UGR12,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1,1.03,0.67,0.944,24,22.81,0.2281
UGR12,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.33,0.29,0.67,0.944,24,22.81,0.2281
UGR12,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1,1.05,0.67,0.944,24,22.81,0.2281
UGR12,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.1,0.32,0.67,0.944,24,22.81,0.2281
UGR12,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0,0,0,0.944,24,22.81,0.2281
UGR12,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0,0,0,0.944,24,22.81,0.2281
UGR13,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0,0,0.33,1.171,20,28.31,0.2831
UGR13,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.33,0.41,0.33,1.171,20,28.31,0.2831
UGR13,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.33,0.51,0.33,1.171,20,28.31,0.2831
UGR13,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.05,0.19,0.33,1.171,20,28.31,0.2831
UGR13,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1,1.03,0.84,1.171,20,28.31,0.2831
UGR13,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,1,0.87,0.84,1.171,20,28.31,0.2831
UGR13,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1,1.05,0.84,1.171,20,28.31,0.2831
UGR13,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.13,0.43,0.84,1.171,20,28.31,0.2831
UGR13,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0,0,0,1.171,20,28.31,0.2831
UGR13,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0,0,0,1.171,20,28.31,0.2831
UGR14,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.33,0.78,0.56,2.982,7,72.06,0.7206
UGR14,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.33,0.41,0.56,2.982,7,72.06,0.7206
UGR14,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.67,1.03,0.56,2.982,7,72.06,0.7206
UGR14,Upper Grande Ronde,exact_identifier,Chinook,Migration,0,0.01,0.56,2.982,7,72.06,0.7206
UGR14,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1,1.03,0.69,2.982,7,72.06,0.7206
UGR14,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.67,0.58,0.69,2.982,7,72.06,0.7206
UGR14,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1,1.05,0.69,2.982,7,72.06,0.7206
UGR14,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.04,0.11,0.69,2.982,7,72.06,0.7206
UGR14,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,1,2.22,1.73,2.982,7,72.06,0.7206
UGR14,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.67,0.99,1.73,2.982,7,72.06,0.7206
UGR15,Upper Grande Ronde,exact_identifier,Chinook,Spawning,1,2.36,1.35,2.535,11,61.26,0.6126
UGR15,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,1,1.25,1.35,2.535,11,61.26,0.6126
