bsr,basin,species,life_stage,LS_corrected_score_source,LS_corrected_score,species_aggregate_score,fish_use_score,population_priority,condition_vulnerability_sum,vulnerability_review_flag,impact_score,risk_score,risk_rank_within_bsr,species_life_stage_label
UGR11,Upper Grande Ronde,Chinook,Spawning,0.0,0.0,0.83,0.4504,0.08,4.453312553571428,No,0.0,0.0,8,Chinook | Spawning
UGR11,Upper Grande Ronde,Chinook,Summer Rearing,0.51,0.14206128133704737,0.83,0.4504,0.24,4.4954918571428575,No,0.638635333465977,0.15327248003183447,6,Chinook | Summer Rearing
UGR11,Upper Grande Ronde,Chinook,Winter Rearing,1.25,0.34818941504178275,0.83,0.4504,0.34,4.155768053571428,No,1.4469944476223637,0.4919781121916037,2,Chinook | Winter Rearing
UGR11,Upper Grande Ronde,Steelhead,Migration,1.36,0.37883008356545966,0.64,0.4504,0.25,4.715469857142857,No,1.7863618400318346,0.44659046000795866,4,Steelhead | Migration
UGR11,Upper Grande Ronde,Steelhead,Spawning,0.34,0.09470752089136492,0.64,0.4504,0.25,4.325199482142857,No,0.4096289203143653,0.10240723007859133,7,Steelhead | Spawning
UGR11,Upper Grande Ronde,Steelhead,Summer Rearing,0.0,0.0,0.64,0.4504,0.25,4.318898839285715,No,0.0,0.0,8,Steelhead | Summer Rearing
UGR11,Upper Grande Ronde,Steelhead,Winter Rearing,0.87,0.24233983286908078,0.64,0.4504,0.25,4.150181625,No,1.00575432137883,0.2514385803447075,5,Steelhead | Winter Rearing
UGR12,Upper Grande Ronde,Bull Trout,FMO,0.0,0.0,0.0,0.2281,0.4,2.630257607142857,Yes,0.0,0.0,8,Bull Trout | FMO
UGR12,Upper Grande Ronde,Bull Trout,Spawning & Resident,0.0,0.0,0.0,0.2281,0.6,2.648459464285714,Yes,0.0,0.0,8,Bull Trout | Spawning & Resident
UGR12,Upper Grande Ronde,Chinook,Migration,0.01,0.002785515320334262,0.27,0.2281,0.34,3.3008022857142856,No,0.009194435336251493,0.0031261080143255076,7,Chinook | Migration
UGR12,Upper Grande Ronde,Chinook,Spawning,0.0,0.0,0.27,0.2281,0.08,2.7870736071428572,No,0.0,0.0,8,Chinook | Spawning
UGR12,Upper Grande Ronde,Chinook,Summer Rearing,0.51,0.14206128133704737,0.27,0.2281,0.24,2.9162367857142857,No,0.41428433446080387,0.09942824027059292,4,Chinook | Summer Rearing
UGR12,Upper Grande Ronde,Chinook,Winter Rearing,0.41,0.11420612813370473,0.27,0.2281,0.34,2.8710680357142855,No,0.32789356396736963,0.11148381174890568,3,Chinook | Winter Rearing
UGR12,Upper Grande Ronde,Steelhead,Migration,0.32,0.08913649025069638,0.67,0.2281,0.25,3.2429756785714283,No,0.2890674699562276,0.0722668674890569,5,Steelhead | Migration
UGR12,Upper Grande Ronde,Steelhead,Spawning,1.03,0.28690807799442897,0.67,0.2281,0.25,3.029998392857143,No,0.8693310152208515,0.21733275380521289,1,Steelhead | Spawning
UGR12,Upper Grande Ronde,Steelhead,Summer Rearing,1.05,0.2924791086350975,0.67,0.2281,0.25,2.708840625,No,0.7922792914345405,0.19806982285863511,2,Steelhead | Summer Rearing
UGR12,Upper Grande Ronde,Steelhead,Winter Rearing,0.29,0.0807799442896936,0.67,0.2281,0.25,2.7940743214285715,No,0.22570516802626345,0.05642629200656586,6,Steelhead | Winter Rearing
UGR13,Upper Grande Ronde,Bull Trout,FMO,0.0,0.0,0.0,0.2831,0.4,4.412536928571429,Yes,0.0,0.0,8,Bull Trout | FMO
UGR13,Upper Grande Ronde,Bull Trout,Spawning & Resident,0.0,0.0,0.0,0.2831,0.6,4.706741946428571,Yes,0.0,0.0,8,Bull Trout | Spawning & Resident
UGR13,Upper Grande Ronde,Chinook,Migration,0.19,0.05292479108635098,0.33,0.2831,0.34,5.539878214285714,No,0.29319689713489855,0.09968694502586552,7,Chinook | Migration
UGR13,Upper Grande Ronde,Chinook,Spawning,0.0,0.0,0.33,0.2831,0.08,4.738595196428571,No,0.0,0.0,8,Chinook | Spawning
