bsr,basin,bsr_crosswalk_status,species,life_stage,LS_corrected_score_source,species_aggregate_score,fish_use_score,LS_corrected_score
UGR3,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0.0,0.59,0.6514,0.0
UGR3,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,1.48,0.59,0.6514,0.41225626740947074
UGR4,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.0,0.0,0.1873,0.0
UGR4,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.0,0.0,0.1873,0.0
UGR4,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.0,0.0,0.1873,0.0
UGR4,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.0,0.0,0.1873,0.0
UGR4,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1.03,0.77,0.1873,0.28690807799442897
UGR4,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.87,0.77,0.1873,0.24233983286908078
UGR4,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1.05,0.77,0.1873,0.2924791086350975
UGR4,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.15,0.77,0.1873,0.04178272980501393
UGR4,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0.0,0.0,0.1873,0.0
UGR4,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.0,0.0,0.1873,0.0
UGR5,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.0,1.16,0.5242,0.0
UGR5,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.84,1.16,0.5242,0.233983286908078
UGR5,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.0,1.16,0.5242,0.0
UGR5,Upper Grande Ronde,exact_identifier,Chinook,Migration,3.23,1.16,0.5242,0.8997214484679666
UGR5,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0.0,0.82,0.5242,0.0
UGR5,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.58,0.82,0.5242,0.1615598885793872
UGR5,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0.0,0.82,0.5242,0.0
UGR5,Upper Grande Ronde,exact_identifier,Steelhead,Migration,2.68,0.82,0.5242,0.7465181058495822
UGR5,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0.0,0.2,0.5242,0.0
UGR5,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.49,0.2,0.5242,0.13649025069637882
UGR6,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.78,0.62,0.7643,0.21727019498607245
UGR6,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.41,0.62,0.7643,0.11420612813370473
UGR6,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,1.03,0.62,0.7643,0.28690807799442897
UGR6,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.2,0.62,0.7643,0.05571030640668524
UGR6,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1.03,0.82,0.7643,0.28690807799442897
UGR6,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.87,0.82,0.7643,0.24233983286908078
UGR6,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1.05,0.82,0.7643,0.2924791086350975
UGR6,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.32,0.82,0.7643,0.08913649025069638
UGR6,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,2.22,1.73,0.7643,0.6183844011142062
UGR6,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.99,1.73,0.7643,0.2757660167130919
UGR7,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.0,0.65,0.3375,0.0
UGR7,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.84,0.65,0.3375,0.233983286908078
UGR7,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.0,0.65,0.3375,0.0
UGR7,Upper Grande Ronde,exact_identifier,Chinook,Migration,1.56,0.65,0.3375,0.4345403899721449
UGR7,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0.0,0.55,0.3375,0.0
UGR7,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.58,0.55,0.3375,0.1615598885793872
UGR7,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0.0,0.55,0.3375,0.0
UGR7,Upper Grande Ronde,exact_identifier,Steelhead,Migration,1.62,0.55,0.3375,0.4512534818941505
UGR7,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0.0,0.2,0.3375,0.0
UGR7,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.49,0.2,0.3375,0.13649025069637882
UGR8,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.0,0.02,0.0044,0.0
UGR8,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.0,0.02,0.0044,0.0
UGR8,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.0,0.02,0.0044,0.0
UGR8,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.06,0.02,0.0044,0.016713091922005572
UGR8,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0.0,0.0,0.0044,0.0
UGR8,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.0,0.0,0.0044,0.0
UGR8,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0.0,0.0,0.0044,0.0
UGR8,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.0,0.0,0.0044,0.0
UGR8,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0.0,0.0,0.0044,0.0
UGR8,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.0,0.0,0.0044,0.0
UGR9,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.0,0.59,0.3184,0.0
UGR9,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.84,0.59,0.3184,0.233983286908078
UGR9,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.0,0.59,0.3184,0.0
UGR9,Upper Grande Ronde,exact_identifier,Chinook,Migration,1.35,0.59,0.3184,0.3760445682451254
UGR9,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0.0,0.53,0.3184,0.0
UGR9,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.58,0.53,0.3184,0.1615598885793872
UGR9,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0.0,0.53,0.3184,0.0
UGR9,Upper Grande Ronde,exact_identifier,Steelhead,Migration,1.55,0.53,0.3184,0.4317548746518106
